,Smiles,Mol,score,h,Training,Success,enamine_searched,enamine_id
34,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](OC([H])([H])c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30b01d0>,,21,False,False,False,
35,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])N([H])[H])N1[H],<fegrow.package.RMol object at 0x151af30c21b0>,,21,False,False,False,
36,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30ba250>,,21,False,False,False,
37,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])N1[H],<fegrow.package.RMol object at 0x151af30c3ba0>,,21,False,False,False,
38,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2sc([H])c([H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30cfdd0>,,21,False,False,False,
39,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C2([H])C([H])([H])C2([H])[H])N1[H],<fegrow.package.RMol object at 0x151af30cfce0>,,21,False,False,False,
40,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30c3100>,,21,False,False,False,
41,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](Oc2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30cd940>,,21,False,False,False,
42,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2c([H])c([H])c(O[H])c([H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24cfc90>,,21,False,False,False,
43,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(N([H])c2c([H])c([H])c([H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30b9c60>,,21,False,False,False,
44,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(S(=O)(=O)C([H])([H])[H])N1[H],<fegrow.package.RMol object at 0x151af30af150>,,21,False,False,False,
45,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])N1[H],<fegrow.package.RMol object at 0x151af24bdda0>,,21,False,False,False,
46,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])N1[H],<fegrow.package.RMol object at 0x151af30ae2a0>,,21,False,False,False,
47,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2c([H])c([H])c([H])c(OC([H])([H])[H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30ae7a0>,,21,False,False,False,
48,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2c([H])c([H])c([H])c(O[H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30ad210>,,21,False,False,False,
49,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])N1[H],<fegrow.package.RMol object at 0x151af30ac770>,,21,False,False,False,
50,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](I)(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af2499b20>,6.43602,21,True,True,False,
