,Smiles,Mol,score,h,Training,Success,enamine_searched,enamine_id
35,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(C([H])([H])N([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb5877e0>,,32,False,False,False,
36,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb585fd0>,,32,False,False,False,
37,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb584e00>,,32,False,False,False,
38,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(-c3sc([H])c([H])c3[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb585670>,,32,False,False,False,
39,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(C3([H])C([H])([H])C3([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb523e70>,,32,False,False,False,
40,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(-c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb523dd0>,,32,False,False,False,
41,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(Oc3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb523650>,,32,False,False,False,
42,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(-c3c([H])c([H])c(O[H])c([H])c3[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb521fd0>,,32,False,False,False,
43,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(N([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb520450>,,32,False,False,False,
44,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb520fe0>,,32,False,False,False,
45,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(N3C([H])([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb507420>,,32,False,False,False,
46,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb78dfd0>,,32,False,False,False,
47,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(-c3c([H])c([H])c([H])c(OC([H])([H])[H])c3[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb507010>,,32,False,False,False,
48,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(-c3c([H])c([H])c([H])c(O[H])c3[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb506390>,,32,False,False,False,
49,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dca9bc3b0>,,32,False,False,False,
50,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(I)c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcaf59670>,5.90305,32,True,True,False,
51,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb521a80>,,32,False,False,False,
52,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb581ad0>,,32,False,False,False,
53,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(N([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcac77c90>,,32,False,False,False,
54,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(C(=O)N([H])C([H])([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb79c950>,,32,False,False,False,
55,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb7a3560>,,32,False,False,False,
56,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(C(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcac73600>,,32,False,False,False,
57,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(-c3c([H])c([H])c([H])c(Cl)c3[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcac71e90>,,32,False,False,False,
58,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(SC([H])([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dca9d7b50>,,32,False,False,False,
59,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(C(=O)c3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcac72ed0>,,32,False,False,False,
60,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb7c27f0>,,32,False,False,False,
